Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | imlib2-loaders                             | package | 1.12.3-1.2                             | x86_64 | Main Repository (OSS)
i  | indent                                     | package | 2.2.13-3.1                             | x86_64 | Main Repository (OSS)
i  | info                                       | package | 7.0.3-1.12                             | x86_64 | Main Repository (OSS)
i  | info-lang                                  | package | 7.0.3-1.12                             | noarch | Main Repository (OSS)
i  | info-std                                   | package | 7.0.3-1.12                             | noarch | Main Repository (OSS)
i  | initviocons                                | package | 0.5-107.3                              | x86_64 | Main Repository (OSS)
i  | intlfonts-euro-bitmap-fonts                | package | 1.4.2-1.1                              | noarch | Main Repository (OSS)
i  | intltool                                   | package | 0.51.0-8.3                             | noarch | Main Repository (OSS)
i  | inxi                                       | package | 3.3.36-67.1                            | noarch | utilities
i  | iproute2                                   | package | 6.10-1.1                               | x86_64 | Main Repository (OSS)
i  | iproute2-bash-completion                   | package | 6.10-1.1                               | x86_64 | Main Repository (OSS)
i  | iputils                                    | package | 20240905-1.1                           | x86_64 | Main Repository (OSS)
i+ | irqbalance                                 | package | 1.9.4.0.git+f8b8cdd-2.1                | x86_64 | Main Repository (OSS)
i  | irqbalance-ui                              | package | 1.9.4.0.git+f8b8cdd-2.1                | x86_64 | Main Repository (OSS)
i  | iso-codes                                  | package | 4.16.0-2.1                             | noarch | Main Repository (OSS)
i  | iso_ent                                    | package | 2000.11.03-830.2                       | noarch | Main Repository (OSS)
i  | issue-generator                            | package | 1.13-2.1                               | noarch | Main Repository (OSS)
i  | iw                                         | package | 6.9-1.1                                | x86_64 | Main Repository (OSS)
i  | java-23-openjdk-headless                   | package | 23.0.1.0-1.1                           | x86_64 | Main Repository (OSS)
i  | javapackages-filesystem                    | package | 6.3.4-1.1                              | x86_64 | Main Repository (OSS)
i  | javapackages-tools                         | package | 6.3.4-1.1                              | x86_64 | Main Repository (OSS)
i  | jfsutils                                   | package | 1.1.15-21.2                            | x86_64 | Main Repository (OSS)
i+ | jq                                         | package | 1.7.1-1.3                              | x86_64 | Main Repository (OSS)
i  | kanshi                                     | package | 1.7.0-1.1                              | x86_64 | Main Repository (OSS)
i  | kbd                                        | package | 2.6.4-5.1                              | x86_64 | Main Repository (OSS)
i  | kconf_update5                              | package | 5.116.0-2.1                            | x86_64 | Main Repository (OSS)
i  | kcoreaddons                                | package | 5.116.0-1.1                            | x86_64 | Main Repository (OSS)
i  | kcoreaddons-lang                           | package | 5.116.0-1.1                            | noarch | Main Repository (OSS)
i+ | kernel-default                             | package | 6.11.8-1.1                             | x86_64 | Main Repository (OSS)
i  | kernel-default-devel                       | package | 6.11.8-1.1                             | x86_64 | Main Repository (OSS)
i  | kernel-devel                               | package | 6.11.8-1.1                             | noarch | Main Repository (OSS)
i  | kernel-firmware-all                        | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-amdgpu                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-ath10k                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-ath11k                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-ath12k                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-atheros                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-bluetooth                  | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-bnx2                       | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-brcm                       | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-chelsio                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-dpaa2                      | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-i915                       | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-intel                      | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-iwlwifi                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-liquidio                   | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-marvell                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-media                      | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-mediatek                   | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-mellanox                   | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-mwifiex                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-network                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-nfp                        | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-nvidia                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-platform                   | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-prestera                   | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-qcom                       | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-qlogic                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-radeon                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-realtek                    | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-serial                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-sound                      | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-ti                         | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-ueagle                     | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-firmware-usb-network                | package | 20241128-1.1                           | noarch | Main Repository (OSS)
i  | kernel-install-tools                       | package | 0.3.0-2.4                              | x86_64 | Main Repository (OSS)
i  | kernel-macros                              | package | 6.11.8-1.1                             | noarch | Main Repository (OSS)
i  | kernel-source                              | package | 6.11.8-1.1                             | noarch | Main Repository (OSS)
i  | kernel-syms                                | package | 6.11.8-1.1                             | x86_64 | Main Repository (OSS)
i+ | kexec-tools                                | package | 2.0.29-2.1                             | x86_64 | Main Repository (OSS)
i  | keyutils                                   | package | 1.6.3-7.2                              | x86_64 | Main Repository (OSS)
i  | kf6-kcoreaddons                            | package | 6.8.0-1.1                              | x86_64 | Main Repository (OSS)
i  | kf6-kcoreaddons-lang                       | package | 6.8.0-1.1                              | noarch | Main Repository (OSS)
i  | kf6-ki18n                                  | package | 6.8.0-1.1                              | x86_64 | Main Repository (OSS)
i  | kf6-kstatusnotifieritem                    | package | 6.8.0-1.1                              | x86_64 | Main Repository (OSS)
i  | kf6-kwindowsystem                          | package | 6.8.0-1.1                              | x86_64 | Main Repository (OSS)
i+ | kitty                                      | package | 0.37.0-1.1                             | x86_64 | Main Repository (OSS)
i  | kitty-shell-integration                    | package | 0.37.0-1.1                             | x86_64 | Main Repository (OSS)
i  | kitty-terminfo                             | package | 0.37.0-1.1                             | noarch | Main Repository (OSS)
i  | klogd                                      | package | 1.5.1-803.3                            | x86_64 | Main Repository (OSS)
i  | kmod                                       | package | 33-1.2                                 | x86_64 | Main Repository (OSS)
i  | kmod-bash-completion                       | package | 33-1.2                                 | noarch | Main Repository (OSS)
i  | kpartx                                     | package | 0.11.0~1+118+suse.4a51b1a-1.1          | x86_64 | Main Repository (OSS)
i  | krb5                                       | package | 1.21.3-1.1                             | x86_64 | Main Repository (OSS)
i  | krb5-32bit                                 | package | 1.21.3-1.1                             | x86_64 | Main Repository (OSS)
i  | kvm_stat                                   | package | 6.11.8-24.6                            | noarch | Main Repository (OSS)
i  | lastlog2                                   | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | less                                       | package | 661-2.1                                | x86_64 | Main Repository (OSS)
i  | liba52-0                                   | package | 0.8.0-1.4                              | x86_64 | Main Repository (OSS)
i  | libaa1                                     | package | 1.4.0-516.1                            | x86_64 | Main Repository (OSS)
i  | libabsl_2407_0_0                           | package | 20240722.0-1.1                         | x86_64 | Main Repository (OSS)
i  | libabsl_lite_2407_0_0                      | package | 20240722.0-1.1                         | x86_64 | Main Repository (OSS)
i  | libaccountsservice0                        | package | 23.13.9-10.1                           | x86_64 | Main Repository (OSS)
i  | libacl1                                    | package | 2.3.2-2.1                              | x86_64 | Main Repository (OSS)
i  | libacl1-32bit                              | package | 2.3.2-2.1                              | x86_64 | Main Repository (OSS)
i  | libadwaita-1-0                             | package | 1.6.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libaio-devel                               | package | 0.3.113-4.1                            | x86_64 | Main Repository (OSS)
i  | libaio1                                    | package | 0.3.113-4.1                            | x86_64 | Main Repository (OSS)
i  | libalternatives1                           | package | 1.2+30.a5431e9-1.5                     | x86_64 | Main Repository (OSS)
i  | libao-plugins4                             | package | 1.2.2+git20180114.d522165-3.2          | x86_64 | Main Repository (OSS)
i  | libao4                                     | package | 1.2.2+git20180114.d522165-3.2          | x86_64 | Main Repository (OSS)
i  | libaom3                                    | package | 3.9.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libaom3-32bit                              | package | 3.9.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libapparmor-devel                          | package | 4.0.3-1.1                              | x86_64 | Main Repository (OSS)
i  | libapparmor1                               | package | 4.0.3-1.1                              | x86_64 | Main Repository (OSS)
i  | libappindicator3-1                         | package | 12.10.1~bzr20200706.298-4.1            | x86_64 | Main Repository (OSS)
i  | libappstream-glib8                         | package | 0.8.3-1.1                              | x86_64 | Main Repository (OSS)
i  | libappstream5                              | package | 1.0.3-2.1                              | x86_64 | Main Repository (OSS)
i  | libapr-util1-0                             | package | 1.6.3-2.1                              | x86_64 | Main Repository (OSS)
i  | libapr1-0                                  | package | 1.7.5-1.1                              | x86_64 | Main Repository (OSS)
i  | libaquamarine3                             | package | 0.4.4-1.1                              | x86_64 | Main Repository (OSS)
i  | libarchive13                               | package | 3.7.7-1.1                              | x86_64 | Main Repository (OSS)
i  | libargon2-1                                | package | 20190702-4.1                           | x86_64 | Main Repository (OSS)
i  | libaria2-0                                 | package | 1.37.0-1.3                             | x86_64 | Main Repository (OSS)
i  | libasan8                                   | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libasm1                                    | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | libasound2                                 | package | 1.2.13-3.1                             | x86_64 | Main Repository (OSS)
i  | libasound2-32bit                           | package | 1.2.13-3.1                             | x86_64 | Main Repository (OSS)
i  | libass9                                    | package | 0.17.3-1.1                             | x86_64 | Main Repository (OSS)
i  | libassuan9                                 | package | 3.0.1-1.1                              | x86_64 | Main Repository (OSS)
i  | libatasmart-utils                          | package | 0.19-11.2                              | x86_64 | Main Repository (OSS)
i  | libatasmart4                               | package | 0.19-11.2                              | x86_64 | Main Repository (OSS)
i  | libatk-1_0-0                               | package | 2.54.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libatk-1_0-0-32bit                         | package | 2.54.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libatk-bridge-2_0-0                        | package | 2.54.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libatkmm-1_6-1                             | package | 2.28.3-3.2                             | x86_64 | Main Repository (OSS)
i  | libatomic1                                 | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | libatspi0                                  | package | 2.54.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libattr1                                   | package | 2.5.2-1.2                              | x86_64 | Main Repository (OSS)
i  | libaudit1                                  | package | 4.0-3.1                                | x86_64 | Main Repository (OSS)
i  | libaudit1-32bit                            | package | 4.0-3.1                                | x86_64 | Main Repository (OSS)
i  | libaugeas0                                 | package | 1.14.1-1.3                             | x86_64 | Main Repository (OSS)
i  | libauparse0                                | package | 4.0-3.1                                | x86_64 | Main Repository (OSS)
i  | libavahi-client3                           | package | 0.8-37.1                               | x86_64 | Main Repository (OSS)
i  | libavahi-client3-32bit                     | package | 0.8-37.1                               | x86_64 | Main Repository (OSS)
i  | libavahi-common3                           | package | 0.8-37.1                               | x86_64 | Main Repository (OSS)
i  | libavahi-common3-32bit                     | package | 0.8-37.1                               | x86_64 | Main Repository (OSS)
i  | libavahi-glib1                             | package | 0.8-37.1                               | x86_64 | Main Repository (OSS)
i  | libavc1394-0                               | package | 0.5.4-20.2                             | x86_64 | Main Repository (OSS)
i  | libavc1394-0-32bit                         | package | 0.5.4-20.2                             | x86_64 | Main Repository (OSS)
i+ | libavcodec58_134                           | package | 4.4.4-1699.22.pm.9                     | x86_64 | Packman
i+ | libavcodec61                               | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavcodec61-32bit                         | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavdevice61                              | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavfilter10                              | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavformat58_76                           | package | 4.4.4-1699.22.pm.9                     | x86_64 | Packman
i  | libavformat61                              | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavformat61-32bit                        | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavif16                                  | package | 1.1.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libavif16-32bit                            | package | 1.1.1-2.2                              | x86_64 | Main Repository (OSS)
i  | libavtp0                                   | package | 0.2.0-2.3                              | x86_64 | Main Repository (OSS)
i  | libavutil56_70                             | package | 4.4.4-1699.22.pm.9                     | x86_64 | Packman
i  | libavutil59                                | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libavutil59-32bit                          | package | 7.1-1699.3.pm.3                        | x86_64 | Packman
i  | libayatana-appindicator3-1                 | package | 0.5.93-1.2                             | x86_64 | Main Repository (OSS)
i  | libayatana-ido3-0_4-0                      | package | 0.9.2-1.7                              | x86_64 | Main Repository (OSS)
i  | libayatana-indicator3-7                    | package | 0.9.0-1.16                             | x86_64 | Main Repository (OSS)
i  | libb2-1                                    | package | 0.98.1-1.17                            | x86_64 | Main Repository (OSS)
i  | libBasicUsageEnvironment2                  | package | 2024.08.01-1.1                         | x86_64 | Main Repository (OSS)
i  | libbd_btrfs3                               | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_crypto3                              | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_fs3                                  | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_loop3                                | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_lvm3                                 | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_mdraid3                              | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_nvme3                                | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_part3                                | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_swap3                                | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libbd_utils3                               | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libblkid-devel                             | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libblkid1                                  | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libblkid1-32bit                            | package | 2.40.2-2.1                             | x86_64 | Main Repository (OSS)
i  | libblockdev                                | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libblockdev3                               | package | 3.1.1-1.2                              | x86_64 | Main Repository (OSS)
i  | libblogger2                                | package | 2.28-1.4                               | x86_64 | Main Repository (OSS)
i  | libbluetooth3                              | package | 5.79-1.2                               | x86_64 | Main Repository (OSS)
i  | libbluetooth3-32bit                        | package | 5.79-1.2                               | x86_64 | Main Repository (OSS)
i  | libbluray2                                 | package | 1.3.4-2.4                              | x86_64 | Main Repository (OSS)
i  | libbluray2-32bit                           | package | 1.3.4-2.4                              | x86_64 | Main Repository (OSS)
i  | libboost_headers1_86_0-devel               | package | 1.86.0-1.2                             | x86_64 | Main Repository (OSS)
i  | libboost_thread1_86_0                      | package | 1.86.0-1.2                             | x86_64 | Main Repository (OSS)
i  | libboost_thread1_86_0-x86-64-v3            | package | 1.86.0-1.2                             | x86_64 | Main Repository (OSS)
i  | libbpf1                                    | package | 1.5.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libbrlapi0_8                               | package | 6.7-1.2                                | x86_64 | Main Repository (OSS)
i  | libbrotli-devel                            | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlicommon1                           | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlicommon1-32bit                     | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlicommon1-x86-64-v3                 | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlidec1                              | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlidec1-32bit                        | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlidec1-x86-64-v3                    | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlienc1                              | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlienc1-32bit                        | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbrotlienc1-x86-64-v3                    | package | 1.1.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libbs2b0                                   | package | 3.1.0-14.3                             | x86_64 | Main Repository (OSS)
i  | libbsd0                                    | package | 0.11.7-2.6                             | x86_64 | Main Repository (OSS)
i  | libbtrfs0                                  | package | 6.10.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libbtrfsutil1                              | package | 6.10.1-1.1                             | x86_64 | Main Repository (OSS)
i  | libbytesize1                               | package | 2.10-2.1                               | x86_64 | Main Repository (OSS)
i  | libbz2-1                                   | package | 1.0.8-5.10                             | x86_64 | Main Repository (OSS)
i  | libbz2-1-32bit                             | package | 1.0.8-5.10                             | x86_64 | Main Repository (OSS)
i  | libbz2-1-x86-64-v3                         | package | 1.0.8-5.10                             | x86_64 | Main Repository (OSS)
i  | libbz2-devel                               | package | 1.0.8-5.10                             | x86_64 | Main Repository (OSS)
i  | libc++1                                    | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libc++abi1                                 | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libcaca0                                   | package | 0.99.beta20-3.2                        | x86_64 | Main Repository (OSS)
i  | libcacard0                                 | package | 2.8.1-1.10                             | x86_64 | Main Repository (OSS)
i  | libcairo-gobject2                          | package | 1.18.2-3.1                             | x86_64 | Main Repository (OSS)
i  | libcairo-script-interpreter2               | package | 1.18.2-3.1                             | x86_64 | Main Repository (OSS)
i  | libcairo2                                  | package | 1.18.2-3.1                             | x86_64 | Main Repository (OSS)
i  | libcairo2-32bit                            | package | 1.18.2-3.1                             | x86_64 | Main Repository (OSS)
i  | libcairomm-1_0-1                           | package | 1.12.2-4.5                             | x86_64 | Main Repository (OSS)
i  | libcairomm-1_16-1                          | package | 1.16.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libcamel-1_2-64                            | package | 3.54.2-1.1                             | x86_64 | Main Repository (OSS)
i  | libcamera-base0_3                          | package | 0.3.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libcamera-base0_3-32bit                    | package | 0.3.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libcamera0_3                               | package | 0.3.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libcamera0_3-32bit                         | package | 0.3.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra-gtk-module-common              | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra-gtk0-32bit                     | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra-gtk2-module-32bit              | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra-gtk3-0                         | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra-gtk3-module                    | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra0                               | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcanberra0-32bit                         | package | 0.30-18.1                              | x86_64 | Main Repository (OSS)
i  | libcap-ng0                                 | package | 0.8.5-1.1                              | x86_64 | Main Repository (OSS)
i  | libcap2                                    | package | 2.73-1.1                               | x86_64 | Main Repository (OSS)
i  | libcap2-32bit                              | package | 2.73-1.1                               | x86_64 | Main Repository (OSS)
i  | libcapi20-3                                | package | 3.27-2.9                               | x86_64 | Main Repository (OSS)
i  | libcapi20-3-32bit                          | package | 3.27-2.9                               | x86_64 | Main Repository (OSS)
i  | libcapstone4                               | package | 4.0.2-3.1                              | x86_64 | Main Repository (OSS)
i  | libcares2                                  | package | 1.30.0-1.1                             | x86_64 | Main Repository (OSS)
i  | libcbor0_11                                | package | 0.11.0-2.1                             | x86_64 | Main Repository (OSS)
i  | libcdda_interface0                         | package | 3.10.2-29.2                            | x86_64 | Main Repository (OSS)
i  | libcdda_paranoia0                          | package | 3.10.2-29.2                            | x86_64 | Main Repository (OSS)
i  | libcddb2                                   | package | 1.3.2-29.2                             | x86_64 | Main Repository (OSS)
i  | libcdio19                                  | package | 2.1.0-9.1                              | x86_64 | Main Repository (OSS)
i  | libcdio_cdda2                              | package | 10.2+2.0.1-1.12                        | x86_64 | Main Repository (OSS)
i  | libcdio_paranoia2                          | package | 10.2+2.0.1-1.12                        | x86_64 | Main Repository (OSS)
i  | libcdrdeflt1_0                             | package | 3.02~a10-51.1                          | x86_64 | Main Repository (OSS)
i  | libcelt0-2                                 | package | 0.11.3-1.34                            | x86_64 | Main Repository (OSS)
i  | libcfitsio10                               | package | 4.4.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libchafa0                                  | package | 1.14.5-1.1                             | x86_64 | Main Repository (OSS)
i  | libchromaprint1                            | package | 1.5.1-7.3                              | x86_64 | Main Repository (OSS)
i  | libclang-cpp18                             | package | 18.1.8-5.1                             | x86_64 | Main Repository (OSS)
i  | libclang-cpp19                             | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libclang13                                 | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libclang_rt19                              | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | libcloudproviders0                         | package | 0.3.6-1.1                              | x86_64 | Main Repository (OSS)
i  | libcodec2-1_2                              | package | 1.2.0-1.4                              | x86_64 | Main Repository (OSS)
i  | libcodec2-1_2-32bit                        | package | 1.2.0-1.4                              | x86_64 | Main Repository (OSS)
i  | libcolord-gtk4-1                           | package | 0.3.0-2.5                              | x86_64 | Main Repository (OSS)
i  | libcolord2                                 | package | 1.4.6-8.1                              | x86_64 | Main Repository (OSS)
i  | libcolorhug2                               | package | 1.4.6-8.1                              | x86_64 | Main Repository (OSS)
i  | libcom_err-devel                           | package | 1.47.0-4.3                             | x86_64 | Main Repository (OSS)
i  | libcom_err2                                | package | 1.47.0-4.3                             | x86_64 | Main Repository (OSS)
i  | libcom_err2-32bit                          | package | 1.47.0-4.3                             | x86_64 | Main Repository (OSS)
i  | libcomps0                                  | package | 0.1.20-3.1                             | x86_64 | Main Repository (OSS)
i  | libconfig++11                              | package | 1.7.3-1.11                             | x86_64 | Main Repository (OSS)
i  | libconfig++11-32bit                        | package | 1.7.3-1.11                             | x86_64 | Main Repository (OSS)
i  | libcpupower1                               | package | 6.11.8-9.11                            | x86_64 | Main Repository (OSS)
i  | libcrack2                                  | package | 2.9.11-1.4                             | x86_64 | Main Repository (OSS)
i  | libcrack2-32bit                            | package | 2.9.11-1.4                             | x86_64 | Main Repository (OSS)
i  | libcreaterepo_c1                           | package | 1.1.0-2.1                              | x86_64 | Main Repository (OSS)
i  | libcrypt1                                  | package | 4.4.36-1.6                             | x86_64 | Main Repository (OSS)
i  | libcrypt1-32bit                            | package | 4.4.36-1.6                             | x86_64 | Main Repository (OSS)
i  | libcrypto55                                | package | 4.0.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libcryptsetup12                            | package | 2.7.5-1.1                              | x86_64 | Main Repository (OSS)
i  | libcryptui-data                            | package | 3.12.2-11.1                            | x86_64 | Main Repository (OSS)
i  | libcryptui0                                | package | 3.12.2-11.1                            | x86_64 | Main Repository (OSS)
i  | libctf-nobfd0                              | package | 2.43-2.1                               | x86_64 | Main Repository (OSS)
i  | libctf0                                    | package | 2.43-2.1                               | x86_64 | Main Repository (OSS)
i  | libcue2                                    | package | 2.3.0-1.3                              | x86_64 | Main Repository (OSS)
i  | libcups2                                   | package | 2.4.11-2.1                             | x86_64 | Main Repository (OSS)
i  | libcups2-32bit                             | package | 2.4.11-2.1                             | x86_64 | Main Repository (OSS)
i  | libcupsimage2                              | package | 2.4.11-2.1                             | x86_64 | Main Repository (OSS)
i  | libcurl4                                   | package | 8.11.0-2.1                             | x86_64 | Main Repository (OSS)
i  | libcurl4-32bit                             | package | 8.11.0-2.1                             | x86_64 | Main Repository (OSS)
i  | libdatrie-devel                            | package | 0.2.13-1.15                            | x86_64 | Main Repository (OSS)
i  | libdatrie1                                 | package | 0.2.13-1.15                            | x86_64 | Main Repository (OSS)
i  | libdatrie1-32bit                           | package | 0.2.13-1.15                            | x86_64 | Main Repository (OSS)
i  | libdav1d7                                  | package | 1.5.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libdav1d7-32bit                            | package | 1.5.0-1.1                              | x86_64 | Main Repository (OSS)
i  | libdb-4_8                                  | package | 4.8.30-47.1                            | x86_64 | Main Repository (OSS)
i  | libdb-4_8-devel                            | package | 4.8.30-47.1                            | x86_64 | Main Repository (OSS)
i  | libdb-4_8-x86-64-v3                        | package | 4.8.30-47.1                            | x86_64 | Main Repository (OSS)
i  | libdbus-1-3                                | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | libdbus-1-3-32bit                          | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | libdbus-glib-1-2                           | package | 0.112-4.2                              | x86_64 | Main Repository (OSS)
i  | libdbus-glib-1-2-32bit                     | package | 0.112-4.2                              | x86_64 | Main Repository (OSS)
i  | libdbusmenu-glib4                          | package | 16.04.0-10.3                           | x86_64 | Main Repository (OSS)
i  | libdbusmenu-gtk3-4                         | package | 16.04.0-10.4                           | x86_64 | Main Repository (OSS)
i  | libdbusmenu-qt5-2                          | package | 0.9.3+16.04.20160218-2.2               | x86_64 | Main Repository (OSS)
i  | libdc1394-26                               | package | 2.2.7-2.2                              | x86_64 | Main Repository (OSS)
i  | libdca0                                    | package | 0.0.7+2-1.5                            | x86_64 | Main Repository (OSS)
i  | libdconf1                                  | package | 0.40.0-3.8                             | x86_64 | Main Repository (OSS)
i  | libde265-0                                 | package | 1.0.15-1699.1.pm.6                     | x86_64 | Packman
i  | libdebuginfod1                             | package | 0.192-1.1                              | x86_64 | Main Repository (OSS)
i  | libdecor                                   | package | 0.2.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libdecor-0-0                               | package | 0.2.2-1.1                              | x86_64 | Main Repository (OSS)
i  | libdeflate0                                | package | 1.21-1.1                               | x86_64 | Main Repository (OSS)
i  | libdeflt1_0                                | package | 2024.03.21-51.1                        | x86_64 | Main Repository (OSS)
i  | libdevmapper-event1_03                     | package | 2.03.24_1.02.198-5.1                   | x86_64 | Main Repository (OSS)
i  | libdevmapper1_03                           | package | 2.03.24_1.02.198-5.1                   | x86_64 | Main Repository (OSS)
i  | libdisplay-info2                           | package | 0.2.0-1.1                              | x86_64 | Main Repository (OSS)
