Loading repository data...
Reading installed packages...

S  | Name                                       | Type    | Version                                | Arch   | Repository
i  | brltty-driver-brlapi                       | package | 6.7-1.2                                | x86_64 | Main Repository (OSS)
i  | brltty-driver-speech-dispatcher            | package | 6.7-1.2                                | x86_64 | Main Repository (OSS)
i  | brltty-driver-xwindow                      | package | 6.7-1.2                                | x86_64 | Main Repository (OSS)
i+ | btop                                       | package | 1.4.0+git20240922.6c0cedd-1.1          | x86_64 | Main Repository (OSS)
i  | btrfsmaintenance                           | package | 0.5.2-1.2                              | noarch | Main Repository (OSS)
i+ | btrfsprogs                                 | package | 6.10.1-1.1                             | x86_64 | Main Repository (OSS)
i  | btrfsprogs-bash-completion                 | package | 6.10.1-1.1                             | x86_64 | Main Repository (OSS)
i  | btrfsprogs-udev-rules                      | package | 6.10.1-1.1                             | noarch | Main Repository (OSS)
i  | bubblewrap                                 | package | 0.11.0-2.1                             | x86_64 | Main Repository (OSS)
i  | busybox-static                             | package | 1.37.0-2.1                             | x86_64 | Main Repository (OSS)
i  | bzip2                                      | package | 1.0.8-5.10                             | x86_64 | Main Repository (OSS)
i  | ca-certificates                            | package | 2+git20240805.fd24d50-1.1              | noarch | Main Repository (OSS)
i  | ca-certificates-mozilla                    | package | 2.68-2.1                               | noarch | Main Repository (OSS)
i  | cabextract                                 | package | 1.11-1.6                               | x86_64 | Main Repository (OSS)
i+ | cage                                       | package | 0.2.0+0.e128a9f-1.1                    | x86_64 | Main Repository (OSS)
i  | cairo-devel                                | package | 1.18.2-3.1                             | x86_64 | Main Repository (OSS)
i  | canokey-qemu                               | package | 0.0+git20230606.151568c-2.3            | x86_64 | Main Repository (OSS)
i  | cantarell-fonts                            | package | 0.303.1-1.7                            | noarch | Main Repository (OSS)
i  | cepces                                     | package | 0.3.9-2.2                              | noarch | Main Repository (OSS)
i  | cepces-certmonger                          | package | 0.3.9-2.2                              | noarch | Main Repository (OSS)
i  | certmonger                                 | package | 0.79.19-5.1                            | x86_64 | Main Repository (OSS)
i  | chafa                                      | package | 1.14.5-1.1                             | x86_64 | Main Repository (OSS)
i  | checkmedia                                 | package | 6.3-1.1                                | x86_64 | Main Repository (OSS)
i+ | chromium                                   | package | 131.0.6778.85-1.1                      | x86_64 | Main Repository (OSS)
i+ | chrony                                     | package | 4.6-1.2                                | x86_64 | Main Repository (OSS)
i  | chrony-pool-openSUSE                       | package | 4.6-1.2                                | noarch | Main Repository (OSS)
i  | cifs-utils                                 | package | 7.1-1.1                                | x86_64 | Main Repository (OSS)
i+ | clang                                      | package | 19-2.1                                 | x86_64 | Main Repository (OSS)
i+ | clang-devel                                | package | 19-2.1                                 | x86_64 | Main Repository (OSS)
i  | clang-tools                                | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | clang19                                    | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | clang19-devel                              | package | 19.1.4-1.1                             | x86_64 | Main Repository (OSS)
i  | cmake                                      | package | 3.31.0-1.1                             | x86_64 | Main Repository (OSS)
i  | cmake-full                                 | package | 3.31.0-1.1                             | x86_64 | Main Repository (OSS)
i  | cmake-man                                  | package | 3.31.0-1.1                             | x86_64 | Main Repository (OSS)
i+ | cmatrix                                    | package | 1.2a-319.58                            | x86_64 | utilities
i  | cnf                                        | package | 0.6.0~0-3.5                            | x86_64 | Main Repository (OSS)
i  | cnf-bash                                   | package | 0.6.0~0-3.5                            | noarch | Main Repository (OSS)
i  | colord                                     | package | 1.4.6-8.1                              | x86_64 | Main Repository (OSS)
i  | colord-color-profiles                      | package | 1.4.6-8.1                              | x86_64 | Main Repository (OSS)
i  | compat-usrmerge-tools                      | package | 84.87-5.20                             | x86_64 | Main Repository (OSS)
i+ | copyq                                      | package | 9.1.0-2.4                              | x86_64 | home:vibondare
i  | coreutils                                  | package | 9.5-4.1                                | x86_64 | Main Repository (OSS)
i  | coreutils-doc                              | package | 9.5-4.1                                | noarch | Main Repository (OSS)
i  | coreutils-systemd                          | package | 9.5-4.1                                | x86_64 | Main Repository (OSS)
i  | cpio                                       | package | 2.15-3.1                               | x86_64 | Main Repository (OSS)
i  | cpio-mt                                    | package | 2.15-3.1                               | x86_64 | Main Repository (OSS)
i  | cpp                                        | package | 14-2.1                                 | x86_64 | Main Repository (OSS)
i  | cpp14                                      | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | cpupower                                   | package | 6.11.8-9.11                            | x86_64 | Main Repository (OSS)
i  | cpupower-bash-completion                   | package | 6.11.8-9.11                            | noarch | Main Repository (OSS)
i  | cracklib                                   | package | 2.9.11-1.4                             | x86_64 | Main Repository (OSS)
i  | cracklib-dict-full                         | package | 2.8.12-66.16                           | x86_64 | Main Repository (OSS)
i  | crda                                       | package | 4.15-2.1                               | x86_64 | Main Repository (OSS)
i  | cron                                       | package | 4.2-97.1                               | x86_64 | Main Repository (OSS)
i  | cronie                                     | package | 1.7.2-97.1                             | x86_64 | Main Repository (OSS)
i  | cross-aarch64-binutils                     | package | 2.43-2.1                               | x86_64 | Main Repository (OSS)
i+ | cross-aarch64-gcc14                        | package | 14.2.1+git10750-1.1                    | x86_64 | Main Repository (OSS)
i  | cross-aarch64-glibc-devel                  | package | 2.40-2.1                               | noarch | Main Repository (OSS)
i  | cross-aarch64-linux-glibc-devel            | package | 6.12-2.1                               | noarch | Main Repository (OSS)
i  | crypto-policies                            | package | 20230920.570ea89-3.2                   | noarch | Main Repository (OSS)
i  | crypto-policies-scripts                    | package | 20230920.570ea89-3.2                   | noarch | Main Repository (OSS)
i  | cryptsetup                                 | package | 2.7.5-1.1                              | x86_64 | Main Repository (OSS)
i  | cryptsetup-doc                             | package | 2.7.5-1.1                              | noarch | Main Repository (OSS)
i  | ctags                                      | package | 5.8-13.5                               | x86_64 | Main Repository (OSS)
i  | cups                                       | package | 2.4.11-2.1                             | x86_64 | Main Repository (OSS)
i  | cups-client                                | package | 2.4.11-2.1                             | x86_64 | Main Repository (OSS)
i  | cups-config                                | package | 2.4.11-2.1                             | x86_64 | Main Repository (OSS)
i  | cups-filters                               | package | 1.28.17-3.1                            | x86_64 | Main Repository (OSS)
i  | cups-pk-helper                             | package | 0.2.7-1.8                              | x86_64 | Main Repository (OSS)
i  | curl                                       | package | 8.11.0-2.1                             | x86_64 | Main Repository (OSS)
i  | curl-fish-completion                       | package | 8.11.0-2.1                             | noarch | Main Repository (OSS)
i  | cyrus-sasl-devel                           | package | 2.1.28-9.1                             | x86_64 | Main Repository (OSS)
i+ | dav1d                                      | package | 1.5.0-1.1                              | x86_64 | Main Repository (OSS)
i  | dbus-1                                     | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | dbus-1-common                              | package | 1.14.10-4.1                            | noarch | Main Repository (OSS)
i  | dbus-1-daemon                              | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | dbus-1-devel                               | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | dbus-1-tools                               | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | dbus-1-x11                                 | package | 1.14.10-4.1                            | x86_64 | Main Repository (OSS)
i  | dbus-broker                                | package | 36-1.1                                 | x86_64 | Main Repository (OSS)
i  | dbus-broker-block-restart                  | package | 36-1.1                                 | noarch | Main Repository (OSS)
