
Name                    Version                 Source      Updated             Info
psreadline              2.3.5                   extras      2024-07-19 13:15:50 
psutils                 0.2023.06.28            main        2024-05-06 12:34:49 
putty                   0.81                    extras      2024-05-18 14:26:09 
python                  3.12.5                  main        2024-08-27 18:08:25 
python310               3.10.11                 versions    2024-05-06 12:35:45 
qalculate               5.2.0                   extras      2024-07-01 13:32:09 
qbittorrent-enhanced    4.6.6.10                extras      2024-08-24 12:47:39 
qemu                    9.1.0                   main        2024-09-04 09:10:14 
rbtray                  4.14                    extras      2024-07-08 21:58:53 
ripgrep                 14.1.0                  main        2024-06-01 17:20:55 
rufus                   4.5                     extras      2024-05-22 16:22:17 
rustup                  1.27.1                  main        2024-05-10 18:40:38 
sass                    1.78.0                  main        2024-09-04 09:10:15 
shellcheck              0.10.0                  main        2024-05-06 12:39:44 
smartmontools           7.4-1                   main        2024-05-06 12:39:48 
stack                   3.1.1                   main        2024-07-28 19:28:27 
starship                1.20.1                  main        2024-07-27 18:08:05 
sudo                    0.2020.01.26            main        2024-05-06 11:45:26 
taskbarx                1.7.8.0                 extras      2024-05-06 12:39:49 
telnet                  msys-inetutils-1.7-1    main        2024-09-01 11:14:36 
tldr                    0.6.1                   main        2024-05-06 12:39:50 
tor                     0.4.8.12-13.5.3         main        2024-09-04 09:10:20 
tor-browser             13.5.3                  extras      2024-09-04 09:10:32 
ttyd                    1.7.7                   main        2024-07-26 19:50:16 
vcpkg                   2024.08.23              main        2024-08-28 20:59:18 
vcredist2022            14.40.33810.0           extras      2024-05-21 14:41:17 
ventoy                  1.0.99                  extras      2024-06-10 08:50:03 
vesktop                 1.5.3                   extras      2024-07-04 21:45:02 
vhs                     0.7.2                   main        2024-07-26 19:50:17 
vim                     9.1.0                   main        2024-08-03 20:00:09 
virt-viewer             11.0-1.0                extras      2024-06-30 14:16:45 
vlc                     3.0.21                  extras      2024-06-10 17:15:28 
vscodium                1.92.2.24228            extras      2024-08-31 17:45:06 
vtm                     0.9.99.07               extras      2024-08-27 07:36:48 
wemod                   9.9.2                   games       2024-08-28 20:59:53 
wget2                   2.1.0                   main        2024-07-13 13:40:00 
whkd                    0.2.1                   extras      2024-08-27 13:36:20 
winrar                  7.01                    extras      2024-05-15 17:56:02 
winscp                  6.3.4                   extras      2024-09-01 12:05:20 
wireguard-np            0.5.3                   nonportable 2024-05-31 13:26:06 
wireshark               4.4.0                   extras      2024-08-28 21:00:19 
wiztree                 4.20                    extras      2024-07-29 16:19:10 
xkill                   1.0.0.20141024          extras      2024-05-06 12:41:43 
xmousebuttoncontrol     2.20.5                  extras      2024-05-12 12:35:08 
xz                      5.2.9                   main        2024-06-16 09:30:47 
yt-dlp                  2024.08.06              main        2024-08-06 13:30:53 
ytdlp-interface         2.14.0                  extras      2024-08-28 21:00:59 
zig                     0.13.0                  main        2024-06-10 08:57:47 
zoom                    6.1.11.45504            extras      2024-08-27 07:37:02 
zoxide                  0.9.4                   main        2024-05-06 12:42:37 
zulu-jdk                22.32.15                java        2024-07-18 14:00:06 
zulu11-jdk              11.74.15                java        2024-07-18 14:01:06 
zulu17-jdk              17.52.17                java        2024-07-18 14:02:04 
zulu8-jdk               8.80.0.17               java        2024-07-18 14:02:55 

